╭─OpenTaint Scan─╮
╰─┬──────────────╯
  ├─ Project model
  │  └─ /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative
  ├─ Analyzer
  │  └─ 2026.09.04.c51dc3e
  └─ Bundled ruleset
     └─ v0.3.0
2026-09-08 08:01:17 |D| Starting Java resolution with specific version strategy only: Java 21
2026-09-08 08:01:17 |D| Trying bundled JRE resolution
2026-09-08 08:01:17 |D| Found bundled JRE (/private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java)
2026-09-08 08:01:17 |D| Excluding JAVA_HOME from command environment
2026-09-08 08:01:17 |D| Created clean environment with 60 variables (excluded Java variables)
2026-09-08 08:01:17 |D| Using clean environment for managed Java version strategy
2026-09-08 08:01:17 |D| Executing Java command: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java [-Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-1315939327/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-01-17.json --debug-run-analysis-on-selected-entry-points *] (full: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java -Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-1315939327/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-01-17.json --debug-run-analysis-on-selected-entry-points *)
2026-09-08 08:01:18 |D| 08:01:18.811 |I| CommonProjectAnalyzer - Start analysis for project: /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-entrypoint-negative/source
2026-09-08 08:01:18 |D| 08:01:18.840 |I| SemgrepTraceLogger - ssti.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.841 |I| SemgrepTraceLogger - ssti.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.848 |I| SemgrepTraceLogger - trust-boundary.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.848 |I| SemgrepTraceLogger - trust-boundary.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.850 |I| SemgrepTraceLogger - sql-injection.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.850 |I| SemgrepTraceLogger - sql-injection.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.852 |I| SemgrepTraceLogger - weak-hash.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.852 |I| SemgrepTraceLogger - weak-hash.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.853 |I| SemgrepTraceLogger - xss.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.853 |I| SemgrepTraceLogger - xss.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.854 |I| SemgrepTraceLogger - cmdinj.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.854 |I| SemgrepTraceLogger - cmdinj.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.855 |I| SemgrepTraceLogger - weak-crypto.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.855 |I| SemgrepTraceLogger - weak-crypto.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.856 |I| SemgrepTraceLogger - path-traversal.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.856 |I| SemgrepTraceLogger - path-traversal.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.858 |I| SemgrepTraceLogger - weak-random.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.858 |I| SemgrepTraceLogger - weak-random.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.859 |I| SemgrepTraceLogger - ssrf.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.859 |I| SemgrepTraceLogger - ssrf.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.861 |I| SemgrepTraceLogger - path-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.861 |I| SemgrepTraceLogger - path-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.862 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.862 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.865 |I| SemgrepTraceLogger - http-sources.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.865 |I| SemgrepTraceLogger - http-sources.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.867 |I| SemgrepTraceLogger - xss-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.867 |I| SemgrepTraceLogger - xss-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.867 |I| SemgrepTraceLogger - http-sources-header-index.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.867 |I| SemgrepTraceLogger - http-sources-header-index.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.868 |I| SemgrepTraceLogger - sql-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.869 |I| SemgrepTraceLogger - sql-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.869 |I| SemgrepTraceLogger - http-sources-requesturi.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.869 |I| SemgrepTraceLogger - http-sources-requesturi.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.870 |I| SemgrepTraceLogger - ssti-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.870 |I| SemgrepTraceLogger - ssti-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.871 |I| SemgrepTraceLogger - ssrf-sinks.yaml | Found 0 supported rules
2026-09-08 08:01:18 |D| 08:01:18.871 |I| SemgrepTraceLogger - ssrf-sinks.yaml | Register 0 rules
2026-09-08 08:01:18 |D| 08:01:18.874 |I| SemgrepTraceLogger - unvalidated-redirect.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.875 |I| SemgrepTraceLogger - unvalidated-redirect.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.877 |I| SemgrepTraceLogger - ldap.yaml | Found 3 supported rules
2026-09-08 08:01:18 |D| 08:01:18.877 |I| SemgrepTraceLogger - ldap.yaml | Register 3 rules
2026-09-08 08:01:18 |D| 08:01:18.885 |I| SemgrepTraceLogger - crypto.yaml | Found 33 supported rules
2026-09-08 08:01:18 |D| 08:01:18.885 |I| SemgrepTraceLogger - crypto.yaml | Register 33 rules
2026-09-08 08:01:18 |D| 08:01:18.887 |I| SemgrepTraceLogger - permissions.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.887 |I| SemgrepTraceLogger - permissions.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.888 |I| SemgrepTraceLogger - csrf.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.888 |I| SemgrepTraceLogger - csrf.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.890 |I| SemgrepTraceLogger - xss.yaml | Found 6 supported rules
2026-09-08 08:01:18 |D| 08:01:18.891 |I| SemgrepTraceLogger - xss.yaml | Register 6 rules
2026-09-08 08:01:18 |D| 08:01:18.892 |I| SemgrepTraceLogger - insecure-design.yaml | Found 5 supported rules
2026-09-08 08:01:18 |D| 08:01:18.892 |I| SemgrepTraceLogger - insecure-design.yaml | Register 5 rules
2026-09-08 08:01:18 |D| 08:01:18.893 |I| SemgrepTraceLogger - xxe.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.893 |I| SemgrepTraceLogger - xxe.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.896 |I| SemgrepTraceLogger - code-injection.yaml | Found 6 supported rules
2026-09-08 08:01:18 |D| 08:01:18.896 |I| SemgrepTraceLogger - code-injection.yaml | Register 6 rules
2026-09-08 08:01:18 |D| 08:01:18.897 |I| SemgrepTraceLogger - sqli.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.897 |I| SemgrepTraceLogger - sqli.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.898 |I| SemgrepTraceLogger - external-configuration-control.yaml | Found 5 supported rules
2026-09-08 08:01:18 |D| 08:01:18.898 |I| SemgrepTraceLogger - external-configuration-control.yaml | Register 5 rules
2026-09-08 08:01:18 |D| 08:01:18.899 |I| SemgrepTraceLogger - data-query-injection.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.899 |I| SemgrepTraceLogger - data-query-injection.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.900 |I| SemgrepTraceLogger - strings.yaml | Found 3 supported rules
2026-09-08 08:01:18 |D| 08:01:18.900 |I| SemgrepTraceLogger - strings.yaml | Register 3 rules
2026-09-08 08:01:18 |D| 08:01:18.901 |I| SemgrepTraceLogger - crlf-injection.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.901 |I| SemgrepTraceLogger - crlf-injection.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.903 |I| SemgrepTraceLogger - sensitive-data-exposure.yaml | Found 8 supported rules
2026-09-08 08:01:18 |D| 08:01:18.903 |I| SemgrepTraceLogger - sensitive-data-exposure.yaml | Register 8 rules
2026-09-08 08:01:18 |D| 08:01:18.904 |I| SemgrepTraceLogger - path-traversal.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.904 |I| SemgrepTraceLogger - path-traversal.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.904 |I| SemgrepTraceLogger - log-injection.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.904 |I| SemgrepTraceLogger - log-injection.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.905 |I| SemgrepTraceLogger - command-injection.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.905 |I| SemgrepTraceLogger - command-injection.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.906 |I| SemgrepTraceLogger - ssrf.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.906 |I| SemgrepTraceLogger - ssrf.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.906 |I| SemgrepTraceLogger - weak-authentication.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.906 |I| SemgrepTraceLogger - weak-authentication.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.908 |I| SemgrepTraceLogger - hardcoded-credentials.yaml | Found 5 supported rules
2026-09-08 08:01:18 |D| 08:01:18.908 |I| SemgrepTraceLogger - hardcoded-credentials.yaml | Register 5 rules
2026-09-08 08:01:18 |D| 08:01:18.909 |I| SemgrepTraceLogger - unsafe-deserialization.yaml | Found 9 supported rules
2026-09-08 08:01:18 |D| 08:01:18.909 |I| SemgrepTraceLogger - unsafe-deserialization.yaml | Register 9 rules
2026-09-08 08:01:18 |D| 08:01:18.910 |I| SemgrepTraceLogger - logging-sinks.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.910 |I| SemgrepTraceLogger - logging-sinks.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.911 |I| SemgrepTraceLogger - path-traversal-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.911 |I| SemgrepTraceLogger - path-traversal-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.912 |I| SemgrepTraceLogger - servlet-unvalidated-redirect-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.912 |I| SemgrepTraceLogger - servlet-unvalidated-redirect-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.912 |I| SemgrepTraceLogger - ldap-injection-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.912 |I| SemgrepTraceLogger - ldap-injection-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.913 |I| SemgrepTraceLogger - command-injection-sinks.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.913 |I| SemgrepTraceLogger - command-injection-sinks.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.913 |I| SemgrepTraceLogger - unsafe-reflection.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.913 |I| SemgrepTraceLogger - unsafe-reflection.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.914 |I| SemgrepTraceLogger - servlet-untrusted-data-source.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.914 |I| SemgrepTraceLogger - servlet-untrusted-data-source.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.915 |I| SemgrepTraceLogger - xxe-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.915 |I| SemgrepTraceLogger - xxe-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.915 |I| SemgrepTraceLogger - servlet-xss-html-response-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.915 |I| SemgrepTraceLogger - servlet-xss-html-response-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.916 |I| SemgrepTraceLogger - template-injection-sinks.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.916 |I| SemgrepTraceLogger - template-injection-sinks.yaml | Register 1 rules
2026-09-08 08:01:18 |D| 08:01:18.917 |I| SemgrepTraceLogger - data-query-injection-sinks.yaml | Found 2 supported rules
2026-09-08 08:01:18 |D| 08:01:18.917 |I| SemgrepTraceLogger - data-query-injection-sinks.yaml | Register 2 rules
2026-09-08 08:01:18 |D| 08:01:18.917 |I| SemgrepTraceLogger - seam-untrusted-data-source.yaml | Found 1 supported rules
2026-09-08 08:01:18 |D| 08:01:18.917 |I| SemgrepTraceLogger - seam-untrusted-data-source.yaml | Register 1 rules
