╭─OpenTaint Scan─╮
╰─┬──────────────╯
  ├─ Project model
  │  └─ /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive
  ├─ Analyzer
  │  └─ 2026.09.04.c51dc3e
  └─ Bundled ruleset
     └─ v0.3.0
2026-09-08 08:02:44 |D| Starting Java resolution with specific version strategy only: Java 21
2026-09-08 08:02:44 |D| Trying bundled JRE resolution
2026-09-08 08:02:44 |D| Found bundled JRE (/private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java)
2026-09-08 08:02:44 |D| Excluding JAVA_HOME from command environment
2026-09-08 08:02:44 |D| Created clean environment with 60 variables (excluded Java variables)
2026-09-08 08:02:44 |D| Using clean environment for managed Java version strategy
2026-09-08 08:02:44 |D| Executing Java command: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java [-Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-497857663/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-02-44.json --debug-run-analysis-on-selected-entry-points *] (full: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java -Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-497857663/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-02-44.json --debug-run-analysis-on-selected-entry-points *)
2026-09-08 08:02:45 |D| 08:02:45.114 |I| CommonProjectAnalyzer - Start analysis for project: /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-sanitizer-positive/source
2026-09-08 08:02:45 |D| 08:02:45.135 |I| SemgrepTraceLogger - ssti.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.135 |I| SemgrepTraceLogger - ssti.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.142 |I| SemgrepTraceLogger - trust-boundary.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.142 |I| SemgrepTraceLogger - trust-boundary.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.143 |I| SemgrepTraceLogger - sql-injection.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.143 |I| SemgrepTraceLogger - sql-injection.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.145 |I| SemgrepTraceLogger - weak-hash.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.145 |I| SemgrepTraceLogger - weak-hash.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.146 |I| SemgrepTraceLogger - xss.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.146 |I| SemgrepTraceLogger - xss.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.147 |I| SemgrepTraceLogger - cmdinj.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.147 |I| SemgrepTraceLogger - cmdinj.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.148 |I| SemgrepTraceLogger - weak-crypto.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.148 |I| SemgrepTraceLogger - weak-crypto.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.149 |I| SemgrepTraceLogger - path-traversal.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.149 |I| SemgrepTraceLogger - path-traversal.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.151 |I| SemgrepTraceLogger - weak-random.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.151 |I| SemgrepTraceLogger - weak-random.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.152 |I| SemgrepTraceLogger - ssrf.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.152 |I| SemgrepTraceLogger - ssrf.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.154 |I| SemgrepTraceLogger - path-sinks.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.154 |I| SemgrepTraceLogger - path-sinks.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.156 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.156 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.158 |I| SemgrepTraceLogger - http-sources.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.158 |I| SemgrepTraceLogger - http-sources.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.160 |I| SemgrepTraceLogger - xss-sinks.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.160 |I| SemgrepTraceLogger - xss-sinks.yaml | Register 0 rules
2026-09-08 08:02:45 |D| 08:02:45.161 |I| SemgrepTraceLogger - http-sources-header-index.yaml | Found 0 supported rules
2026-09-08 08:02:45 |D| 08:02:45.161 |I| SemgrepTraceLogger - http-sources-header-index.yaml | Register 0 rules
