╭─OpenTaint Scan─╮
╰─┬──────────────╯
  ├─ Project model
  │  └─ /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive
  ├─ Analyzer
  │  └─ 2026.09.04.c51dc3e
  └─ Bundled ruleset
     └─ v0.3.0
2026-09-08 08:03:08 |D| Starting Java resolution with specific version strategy only: Java 21
2026-09-08 08:03:08 |D| Trying bundled JRE resolution
2026-09-08 08:03:08 |D| Found bundled JRE (/private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java)
2026-09-08 08:03:08 |D| Excluding JAVA_HOME from command environment
2026-09-08 08:03:08 |D| Created clean environment with 60 variables (excluded Java variables)
2026-09-08 08:03:08 |D| Using clean environment for managed Java version strategy
2026-09-08 08:03:08 |D| Executing Java command: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java [-Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-3053273837/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-03-08.json --debug-run-analysis-on-selected-entry-points *] (full: /private/tmp/dfb-v071-opentaint-full-653a/jre/bin/java -Xmx8g -Dorg.opentaint.ir.impl.storage.defaultBatchSize=2000 -Djdk.util.jar.enableMultiRelease=false -jar /private/tmp/dfb-v071-opentaint-full-653a/lib/opentaint-project-analyzer.jar --project /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive/project.yaml --output-dir /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive --logs-file /var/folders/t1/k_27wjcd4095w9w121dm92_w0000gn/T/opentaint-3053273837/analyzer.log --sarif-file-name product.sarif.json --sarif-tool-version analyzer/2026.09.04.c51dc3e --sarif-tool-semantic-version 0.4.6 --sarif-uri-base /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive/source/ --sarif-semgrep-style-id --sarif-generate-fingerprint --verbosity=info --semgrep-rule-severity=warning --semgrep-rule-severity=error --ifds-analysis-timeout=900 --semgrep-rule-set /private/tmp/dfb-v071-opentaint-full-653a/lib/rules --semgrep-rule-load-trace /Users/dave/.opentaint/logs/dataflowbench-959b53f0/rule-load-trace-2026-09-08_08-03-08.json --debug-run-analysis-on-selected-entry-points *)
2026-09-08 08:03:08 |D| 08:03:08.900 |I| CommonProjectAnalyzer - Start analysis for project: /Users/dave/.codex/worktrees/653a/dataflowbench/reports/raw/opentaint-product-v071/native-source-sink-positive/source
2026-09-08 08:03:08 |D| 08:03:08.923 |I| SemgrepTraceLogger - ssti.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.923 |I| SemgrepTraceLogger - ssti.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.931 |I| SemgrepTraceLogger - trust-boundary.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.931 |I| SemgrepTraceLogger - trust-boundary.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.932 |I| SemgrepTraceLogger - sql-injection.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.933 |I| SemgrepTraceLogger - sql-injection.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.934 |I| SemgrepTraceLogger - weak-hash.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.934 |I| SemgrepTraceLogger - weak-hash.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.935 |I| SemgrepTraceLogger - xss.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.935 |I| SemgrepTraceLogger - xss.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.936 |I| SemgrepTraceLogger - cmdinj.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.937 |I| SemgrepTraceLogger - cmdinj.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.938 |I| SemgrepTraceLogger - weak-crypto.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.938 |I| SemgrepTraceLogger - weak-crypto.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.939 |I| SemgrepTraceLogger - path-traversal.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.939 |I| SemgrepTraceLogger - path-traversal.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.941 |I| SemgrepTraceLogger - weak-random.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.941 |I| SemgrepTraceLogger - weak-random.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.942 |I| SemgrepTraceLogger - ssrf.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.942 |I| SemgrepTraceLogger - ssrf.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.945 |I| SemgrepTraceLogger - path-sinks.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.945 |I| SemgrepTraceLogger - path-sinks.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.946 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.947 |I| SemgrepTraceLogger - cmdi-sinks.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.949 |I| SemgrepTraceLogger - http-sources.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.949 |I| SemgrepTraceLogger - http-sources.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.951 |I| SemgrepTraceLogger - xss-sinks.yaml | Found 0 supported rules
2026-09-08 08:03:08 |D| 08:03:08.951 |I| SemgrepTraceLogger - xss-sinks.yaml | Register 0 rules
2026-09-08 08:03:08 |D| 08:03:08.952 |I| SemgrepTraceLogger - http-sources-header-index.yaml | Found 0 supported rules
