  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:04:57   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    02:58:39   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    02:58:22   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:56:39   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:56:32   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       26:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       25:37   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
23009 22909       24:43   0.3 /Users/dave/.cargo/bin/cargo-nextest
52370 52332       08:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:26:22   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:26:20   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:25:17   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:40:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:12:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       02:05   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
66940 62829       00:12  88.0 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
68594 23009       00:01  70.8 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
68640 23009       00:00  48.6 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
68641 23009       00:00  43.2 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
68678 23009       00:00  10.2 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
68679 23009       00:00   0.0 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
68680 23009       00:00   0.0 /Users/dave/.codex/worktrees/76d8/bifrost-dev/target/debug/deps/brokk_bifrost_flow-b4e9b551610dab60
72623 72583    05:02:10   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:18:52   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
78684 78564    01:16:57   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:05:25   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:03:57   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:03:27   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:02:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:02:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:01:28   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
