  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:09:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:02:48   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:02:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:00:48   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:00:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       30:54   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       29:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       12:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:30:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:30:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:29:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:45:05   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:16:20   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       06:14   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:06:19   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:23:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75782 62829       00:06  99.4 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:21:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:09:34   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:08:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:07:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:07:05   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:06:40   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:05:37   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
