2026-09-07T15:05:28Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:07:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:00:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:00:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:58:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:58:51   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       29:04   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       27:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       10:55   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:28:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:28:39   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:27:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:43:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:14:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       04:24   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:04:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:21:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74936 62829       00:05  98.4 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:19:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:07:44   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:06:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:05:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:05:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:04:50   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:03:47   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:05:43Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:07:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:01:13   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:00:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:59:13  62.5 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:59:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       29:19   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       28:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       11:10   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:28:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:28:54   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:27:51   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:43:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:14:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       04:39   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:04:44   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:21:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75044 62829       00:06  90.7 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:19:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:07:59   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:06:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:06:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:05:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:05:05   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:04:02   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:05:58Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:07:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:01:28   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:01:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:59:28   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:59:21   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       29:34   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       28:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       11:25   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:29:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:29:09   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:28:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:43:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:15:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       04:54   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:04:59   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:21:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75131 62829       00:07  98.2 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:19:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:08:14   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:06:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:06:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:05:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:05:20   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:04:17   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:06:13Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:08:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:01:43   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:01:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:59:43   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:59:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       29:49   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       28:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       11:40   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:29:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:29:24   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:28:21   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:44:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:15:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       05:09   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:05:14   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
