retained probe evidence in reports/raw/amendment-a25-opentaint-scan-activation/
control-servlet: registered rules: 86; rule traces: 135; load errors: 0; results: 1
native-entrypoint-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-entrypoint-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-persistence-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-persistence-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-propagator-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-propagator-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-sanitizer-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-sanitizer-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-source-sink-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-source-sink-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-summary-negative: registered rules: 86; rule traces: 135; load errors: 0; results: 0
native-summary-positive: registered rules: 86; rule traces: 135; load errors: 0; results: 0
